"Name","API Name","Instance Memory","vCPUs","Physical Processor","Clock Speed(GHz)","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"C6G Extra Large","c6g.xlarge","8.0 GiB","4 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","Up to 10 Gigabit","$0.1616 hourly","$0.1018 hourly","$0.0537 hourly","unavailable","unavailable"
"IS4GEN Medium","is4gen.medium","6.0 GiB","1 vCPUs","AWS Graviton2 Processor","2.5 GHz","937 GB                 NVMe SSD","Up to 25 Gigabit","$0.1677 hourly","$0.1145 hourly","$0.0171 hourly","unavailable","unavailable"
"R5D Large","r5d.large","16.0 GiB","2 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.1690 hourly","$0.1060 hourly","$0.0531 hourly","$0.2610 hourly","$0.1980 hourly"
"T3A Extra Large","t3a.xlarge","16.0 GiB","4 vCPUs                                                         for a                   9h 36m                   burst","AMD EPYC 7571","2.5 GHz","EBS only","Up to 5 Gigabit","$0.1699 hourly","$0.1070 hourly","$0.0615 hourly","$0.2435 hourly","$0.1806 hourly"
"C7G Extra Large","c7g.xlarge","8.0 GiB","4 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","Up to 12.5 Gigabit","$0.1717 hourly","$0.1134 hourly","$0.0498 hourly","unavailable","unavailable"
"R5B Large","r5b.large","16.0 GiB","2 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","Up to 10 Gigabit","$0.1750 hourly","$0.1108 hourly","$0.0475 hourly","$0.2670 hourly","$0.2028 hourly"
"R5N Large","r5n.large","16.0 GiB","2 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","EBS only","Up to 25 Gigabit","$0.1750 hourly","$0.1110 hourly","$0.0477 hourly","$0.2670 hourly","$0.2030 hourly"
"R6ID Large","r6id.large","16.0 GiB","2 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1774 hourly","$0.1118 hourly","$0.0414 hourly","$0.2695 hourly","$0.2038 hourly"
"M6G Extra Large","m6g.xlarge","16.0 GiB","4 vCPUs","AWS Graviton2 Processor","unknown","EBS only","Up to 10 Gigabit","$0.1776 hourly","$0.1119 hourly","$0.0464 hourly","unavailable","unavailable"
"I3 High I/O Large","i3.large","15.25 GiB","2 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","475 GB                 NVMe SSD","Up to 10 Gigabit","$0.1810 hourly","$0.1240 hourly","$0.0292 hourly","$0.2730 hourly","$0.2160 hourly"
"C6A Extra Large","c6a.xlarge","8.0 GiB","4 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","Up to 12.5 Gigabit","$0.1818 hourly","$0.1200 hourly","$0.0779 hourly","$0.3658 hourly","$0.3040 hourly"
"C5A Extra Large","c5a.xlarge","8.0 GiB","4 vCPUs","AMD EPYC 7R32","3.3 GHz","EBS only","Up to 10 Gigabit","$0.1820 hourly","$0.1150 hourly","$0.0816 hourly","$0.3660 hourly","$0.2990 hourly"
